,Athletic Terminology,Financial Terminology,Technological terminology,Geopolitical References,World Events References,Scientific Concepts References,Specific Scientific Phenomena Mention,Emerging Technology References,Tech Company References,Medical and Health References,Product/Service References,Technological Innovation and Advancement Description,Business Company References,International Relations References,World Leaders and Politicians References,Space and Technology Keywords
Athletic Terminology,1.0,-0.30409361606439156,-0.31570063122895414,-0.08978009066513148,-0.32163994392669726,-0.19157417007799454,-0.20024441770677576,-0.2891127483860925,-0.267574198046151,-0.02315973699031108,-0.3306547993130263,-0.24713320490631985,-0.010226110735253218,-0.30169891318414965,-0.22638344952765765,-0.1537542288779136
Financial Terminology,-0.30409361606439156,1.0,0.27339011717615846,-0.05160491253580487,-0.04082194715423504,-0.12162014813248466,-0.036107692803425795,0.07557170406564304,0.3402800754219211,-0.06757650100460454,0.3365945521385107,0.11376951156829679,0.2533201985524496,-0.07828662170998248,-0.2185746171290705,0.12797933721000246
Technological terminology,-0.31570063122895414,0.27339011717615846,1.0,-0.2530384126368791,-0.27613062204620903,0.3064447410801948,0.33076685108925824,0.7594065849043286,0.8203649796702955,-0.10603057629936839,0.8026096480825271,0.7830893309373851,0.29092736119161877,-0.19047789172673155,-0.2715344930765782,0.7444603843033535
Geopolitical References,-0.08978009066513148,-0.05160491253580487,-0.2530384126368791,1.0,0.46649413050531335,-0.14981549928828353,-0.12765552758903978,-0.21116941100400252,-0.15140970258781267,0.03845110373713704,-0.20518958650241062,-0.23794610891705406,-0.15842886781974547,0.451867993922031,0.34754195172567587,-0.18660223471062656
World Events References,-0.32163994392669726,-0.04082194715423504,-0.27613062204620903,0.46649413050531335,1.0,-0.06377661154080043,-0.10766625612912105,-0.22923873028553526,-0.23284529244610902,-0.0523592827205668,-0.24624322030316897,-0.24617395969500877,-0.3294836436316491,0.744690456794603,0.6145171342731044,-0.16813634832282326
Scientific Concepts References,-0.19157417007799454,-0.12162014813248466,0.3064447410801948,-0.14981549928828353,-0.06377661154080043,1.0,0.6926084761618945,0.5118864911331548,0.15323888499203836,0.17104267744044796,0.1582256389778232,0.3919094209187872,0.00752340073167285,-0.03664291624266315,-0.09927390091506962,0.38453535323391935
Specific Scientific Phenomena Mention,-0.20024441770677576,-0.036107692803425795,0.33076685108925824,-0.12765552758903978,-0.10766625612912105,0.6926084761618945,1.0,0.5713523293228921,0.1396032027632182,0.23463020830260214,0.14309598089040143,0.444081318974094,0.027923114049429446,0.017978000327709825,-0.09201930315477513,0.5343070464432759
Emerging Technology References,-0.2891127483860925,0.07557170406564304,0.7594065849043286,-0.21116941100400252,-0.22923873028553526,0.5118864911331548,0.5713523293228921,1.0,0.6389295789449191,0.01752900746845386,0.6165672215658212,0.8287822214766633,0.1800540367801246,-0.129951670174458,-0.21220518023586782,0.7042549292286944
Tech Company References,-0.267574198046151,0.3402800754219211,0.8203649796702955,-0.15140970258781267,-0.23284529244610902,0.15323888499203836,0.1396032027632182,0.6389295789449191,1.0,-0.1408475044057104,0.8172398667385373,0.6452794149440347,0.3502051062766155,-0.15921413759873979,-0.24340409362573098,0.60626389348971
Medical and Health References,-0.02315973699031108,-0.06757650100460454,-0.10603057629936839,0.03845110373713704,-0.0523592827205668,0.17104267744044796,0.23463020830260214,0.01752900746845386,-0.1408475044057104,1.0,-0.1069597828135131,0.019964194260361605,0.005444146472649146,-0.07639887941975616,0.0025930617566148847,-0.06119896533707703
Product/Service References,-0.3306547993130263,0.3365945521385107,0.8026096480825271,-0.20518958650241062,-0.24624322030316897,0.1582256389778232,0.14309598089040143,0.6165672215658212,0.8172398667385373,-0.1069597828135131,1.0,0.6618968418976162,0.4355527107199493,-0.1856131704201528,-0.2700049441514722,0.5192407116268001
Technological Innovation and Advancement Description,-0.24713320490631985,0.11376951156829679,0.7830893309373851,-0.23794610891705406,-0.24617395969500877,0.3919094209187872,0.444081318974094,0.8287822214766633,0.6452794149440347,0.019964194260361605,0.6618968418976162,1.0,0.22153655183239418,-0.16958322797226394,-0.20177096500764433,0.6913356942046932
Business Company References,-0.010226110735253218,0.2533201985524496,0.29092736119161877,-0.15842886781974547,-0.3294836436316491,0.00752340073167285,0.027923114049429446,0.1800540367801246,0.3502051062766155,0.005444146472649146,0.4355527107199493,0.22153655183239418,1.0,-0.19186036503876747,-0.35061172222883036,0.11488690226654376
International Relations References,-0.30169891318414965,-0.07828662170998248,-0.19047789172673155,0.451867993922031,0.744690456794603,-0.03664291624266315,0.017978000327709825,-0.129951670174458,-0.15921413759873979,-0.07639887941975616,-0.1856131704201528,-0.16958322797226394,-0.19186036503876747,1.0,0.5707113710178597,-0.06580025528329551
World Leaders and Politicians References,-0.22638344952765765,-0.2185746171290705,-0.2715344930765782,0.34754195172567587,0.6145171342731044,-0.09927390091506962,-0.09201930315477513,-0.21220518023586782,-0.24340409362573098,0.0025930617566148847,-0.2700049441514722,-0.20177096500764433,-0.35061172222883036,0.5707113710178597,1.0,-0.16227254207894978
Space and Technology Keywords,-0.1537542288779136,0.12797933721000246,0.7444603843033535,-0.18660223471062656,-0.16813634832282326,0.38453535323391935,0.5343070464432759,0.7042549292286944,0.60626389348971,-0.06119896533707703,0.5192407116268001,0.6913356942046932,0.11488690226654376,-0.06580025528329551,-0.16227254207894978,1.0
