,Economic Significance,Tech-related terminology,Sporting Event References,Business deal/transaction,Global Affairs & Politics,Mention of Competition,Geographical References,Scientific Process and Methodology,Corporate Strategic Movements,Corporate Financial Performance,Product Launches and Innovations,Technological Changes and Developments,Scientific or Technology Concepts,Sports Terminology and Jargon,Corporate Leadership Changes,Mentions of Internet Services,Discussions on Market and Business Strategies,Mention of Financial Figures
Economic Significance,1.0,0.3252441439872542,-0.41704348807317226,0.45488479595577186,0.026207238641712954,-0.426360102476512,-0.1438775713717035,-0.08268032955742177,0.4401864365975104,0.5619539083310671,0.11326614141849868,0.22310661972961862,0.19086278378373664,-0.40463594157292126,-0.0193418358656754,0.2187250110930555,0.7094861961929347,0.45978642750428367
Tech-related terminology,0.3252441439872542,1.0,-0.42120807921826153,0.32227834776894876,-0.25922761055046245,-0.38512153307475566,-0.32883636624746665,0.17747995721197232,0.5651722760579126,0.19472013311375486,0.6771413073417952,0.8670789869719531,0.7538315743998099,-0.39455486415852725,-0.040224752318270454,0.6004821872796489,0.4774073296760345,0.12176726545483789
Sporting Event References,-0.41704348807317226,-0.42120807921826153,1.0,-0.19121620114928908,-0.35408873693862014,0.9220016260900765,0.05333590176426395,-0.23220173871405353,-0.3529378090714219,-0.3296600618270974,-0.2613584120442184,-0.39761836233512654,-0.4380107662532277,0.928718869577364,-0.05216688956023615,-0.27776531820971023,-0.32941577331684957,-0.16168994274231793
Business deal/transaction,0.45488479595577186,0.32227834776894876,-0.19121620114928908,1.0,-0.10096749686697362,-0.17132261930535111,-0.06080010668550445,-0.02412178084813171,0.5901309809575894,0.2969109245614729,0.2522367672289766,0.20065695599241992,0.19125364675243603,-0.14327848057882783,0.03642117994224278,0.34493016919916086,0.4984519003152233,0.22290207441888807
Global Affairs & Politics,0.026207238641712954,-0.25922761055046245,-0.35408873693862014,-0.10096749686697362,1.0,-0.3703602349142617,0.48984607459799256,-0.040447389731825996,-0.11378750550294112,-0.01211213796950636,-0.26006018593905833,-0.2041680843917709,-0.2004349502472771,-0.3900308640266854,0.15069404398607433,-0.22502598911118538,-0.0701893986534092,-0.0338562443274138
Mention of Competition,-0.426360102476512,-0.38512153307475566,0.9220016260900765,-0.17132261930535111,-0.3703602349142617,1.0,0.0816279331232137,-0.19766090006251238,-0.3008735538571076,-0.26804908778856396,-0.23769017519632757,-0.3914491547182509,-0.438068261771176,0.9356231772645048,-0.048571348303401464,-0.24491326329748855,-0.35665825904404763,-0.22192126759942982
Geographical References,-0.1438775713717035,-0.32883636624746665,0.05333590176426395,-0.06080010668550445,0.48984607459799256,0.0816279331232137,1.0,-0.019853174005415967,-0.2027246591687649,-0.08589582077011686,-0.2537889543654286,-0.245667610163048,-0.2096788823319203,0.060504645818975036,0.06883923018474787,-0.2727071419874249,-0.2104953892560333,-0.044076440242467714
Scientific Process and Methodology,-0.08268032955742177,0.17747995721197232,-0.23220173871405353,-0.02412178084813171,-0.040447389731825996,-0.19766090006251238,-0.019853174005415967,1.0,-0.018910712118679247,-0.0636440937134359,0.2874196596260044,0.3203550757542704,0.4892279433182953,-0.21816942124265626,-0.03326028200097776,-0.0883061469637338,-0.1399170116510762,-0.03676178179310468
Corporate Strategic Movements,0.4401864365975104,0.5651722760579126,-0.3529378090714219,0.5901309809575894,-0.11378750550294112,-0.3008735538571076,-0.2027246591687649,-0.018910712118679247,1.0,0.24494361786395938,0.5137743130063401,0.47550216729456946,0.37294577151141367,-0.31456932501265855,0.10320624506634068,0.4673114386187693,0.6332012457557927,0.09735282935447413
Corporate Financial Performance,0.5619539083310671,0.19472013311375486,-0.3296600618270974,0.2969109245614729,-0.01211213796950636,-0.26804908778856396,-0.08589582077011686,-0.0636440937134359,0.24494361786395938,1.0,-0.022321021489645418,0.10094526217137001,0.07064651127259979,-0.21296649083084462,-0.12281887434341743,0.1392340872800242,0.41014379053824085,0.5800152209731575
Product Launches and Innovations,0.11326614141849868,0.6771413073417952,-0.2613584120442184,0.2522367672289766,-0.26006018593905833,-0.23769017519632757,-0.2537889543654286,0.2874196596260044,0.5137743130063401,-0.022321021489645418,1.0,0.7057040724571441,0.5746930312995988,-0.24512183257481018,-0.10336446806807774,0.48931676972055393,0.3198784558131893,-0.02458956696376292
Technological Changes and Developments,0.22310661972961862,0.8670789869719531,-0.39761836233512654,0.20065695599241992,-0.2041680843917709,-0.3914491547182509,-0.245667610163048,0.3203550757542704,0.47550216729456946,0.10094526217137001,0.7057040724571441,1.0,0.8010494741381873,-0.3947419486914427,-0.05919321875146249,0.5294280841154514,0.3934570507744927,0.08818728477685786
Scientific or Technology Concepts,0.19086278378373664,0.7538315743998099,-0.4380107662532277,0.19125364675243603,-0.2004349502472771,-0.438068261771176,-0.2096788823319203,0.4892279433182953,0.37294577151141367,0.07064651127259979,0.5746930312995988,0.8010494741381873,1.0,-0.45601745614342154,-0.13711428080410654,0.4737073437724813,0.3350073984892433,0.06571839376543645
Sports Terminology and Jargon,-0.40463594157292126,-0.39455486415852725,0.928718869577364,-0.14327848057882783,-0.3900308640266854,0.9356231772645048,0.060504645818975036,-0.21816942124265626,-0.31456932501265855,-0.21296649083084462,-0.24512183257481018,-0.3947419486914427,-0.45601745614342154,1.0,-0.050244884828894464,-0.2292168456930519,-0.3595992877107255,-0.1985284267413919
Corporate Leadership Changes,-0.0193418358656754,-0.040224752318270454,-0.05216688956023615,0.03642117994224278,0.15069404398607433,-0.048571348303401464,0.06883923018474787,-0.03326028200097776,0.10320624506634068,-0.12281887434341743,-0.10336446806807774,-0.05919321875146249,-0.13711428080410654,-0.050244884828894464,1.0,-0.04131939018983382,-0.0041244382741518594,-0.08824812994118722
Mentions of Internet Services,0.2187250110930555,0.6004821872796489,-0.27776531820971023,0.34493016919916086,-0.22502598911118538,-0.24491326329748855,-0.2727071419874249,-0.0883061469637338,0.4673114386187693,0.1392340872800242,0.48931676972055393,0.5294280841154514,0.4737073437724813,-0.2292168456930519,-0.04131939018983382,1.0,0.3293153718587876,0.06334821832577942
Discussions on Market and Business Strategies,0.7094861961929347,0.4774073296760345,-0.32941577331684957,0.4984519003152233,-0.0701893986534092,-0.35665825904404763,-0.2104953892560333,-0.1399170116510762,0.6332012457557927,0.41014379053824085,0.3198784558131893,0.3934570507744927,0.3350073984892433,-0.3595992877107255,-0.0041244382741518594,0.3293153718587876,1.0,0.3045359930696782
Mention of Financial Figures,0.45978642750428367,0.12176726545483789,-0.16168994274231793,0.22290207441888807,-0.0338562443274138,-0.22192126759942982,-0.044076440242467714,-0.03676178179310468,0.09735282935447413,0.5800152209731575,-0.02458956696376292,0.08818728477685786,0.06571839376543645,-0.1985284267413919,-0.08824812994118722,0.06334821832577942,0.3045359930696782,1.0
