,Scientific and technological focus,Financial and Business Terminology,Coverage of Global Events,Presence of Sports Terminology,Financial Reporting and Transactions,Global Political Dynamics,Technical and Software Terminology,Prominent Sports Competitions and Events,International Diplomacy and Policy,World Affairs and Geopolitics,Inclusion of Sports Team Names,Presence of Technology Product Announcements
Scientific and technological focus,1.0,0.29461135678934425,-0.11234188696340851,-0.3806037073787897,0.04285183412219883,-0.20994768424410043,0.8534385758299223,-0.3836619360525304,-0.16723956440133078,-0.21882114982318987,-0.31357349748208163,0.7215434412247399
Financial and Business Terminology,0.29461135678934425,1.0,-0.08730319093247564,-0.299629992391261,0.6280295153419561,-0.12223465970539305,0.4344198668286897,-0.354296350854104,-0.08525997420788266,-0.09077736074470416,-0.3108999409836888,0.3076960620634294
Coverage of Global Events,-0.11234188696340851,-0.08730319093247564,1.0,-0.269800879198473,-0.013007721264913282,0.7198499590005725,-0.2038692251979799,-0.29022896665744585,0.7275292852717427,0.7962989753052025,-0.31757577971315676,-0.14493053713844525
Presence of Sports Terminology,-0.3806037073787897,-0.299629992391261,-0.269800879198473,1.0,-0.3274509667408168,-0.35305108690849596,-0.37068425035995184,0.9363867217250919,-0.31863835884488073,-0.36750376745300645,0.8185645388513276,-0.28789427874013634
Financial Reporting and Transactions,0.04285183412219883,0.6280295153419561,-0.013007721264913282,-0.3274509667408168,1.0,-0.06093415371998182,0.16421774513310733,-0.35624457108627305,-0.04600291207361001,0.028860310400191925,-0.31580293243818275,0.06457892368506604
Global Political Dynamics,-0.20994768424410043,-0.12223465970539305,0.7198499590005725,-0.35305108690849596,-0.06093415371998182,1.0,-0.28051132565161985,-0.3915886027293164,0.9074805460515606,0.8246934973070392,-0.3347176562747539,-0.25137072577254366
Technical and Software Terminology,0.8534385758299223,0.4344198668286897,-0.2038692251979799,-0.37068425035995184,0.16421774513310733,-0.28051132565161985,1.0,-0.3917911835479418,-0.24164058341978845,-0.2712099171612015,-0.3161017628734257,0.7142051183909602
Prominent Sports Competitions and Events,-0.3836619360525304,-0.354296350854104,-0.29022896665744585,0.9363867217250919,-0.35624457108627305,-0.3915886027293164,-0.3917911835479418,1.0,-0.3684801750929255,-0.39955290668900045,0.8286331903743767,-0.28123091649441645
International Diplomacy and Policy,-0.16723956440133078,-0.08525997420788266,0.7275292852717427,-0.31863835884488073,-0.04600291207361001,0.9074805460515606,-0.24164058341978845,-0.3684801750929255,1.0,0.8146277474725239,-0.3185445751398679,-0.21398566715369566
World Affairs and Geopolitics,-0.21882114982318987,-0.09077736074470416,0.7962989753052025,-0.36750376745300645,0.028860310400191925,0.8246934973070392,-0.2712099171612015,-0.39955290668900045,0.8146277474725239,1.0,-0.4006318843197471,-0.2596048545427132
Inclusion of Sports Team Names,-0.31357349748208163,-0.3108999409836888,-0.31757577971315676,0.8185645388513276,-0.31580293243818275,-0.3347176562747539,-0.3161017628734257,0.8286331903743767,-0.3185445751398679,-0.4006318843197471,1.0,-0.2107502473563139
Presence of Technology Product Announcements,0.7215434412247399,0.3076960620634294,-0.14493053713844525,-0.28789427874013634,0.06457892368506604,-0.25137072577254366,0.7142051183909602,-0.28123091649441645,-0.21398566715369566,-0.2596048545427132,-0.2107502473563139,1.0
