,Food Quality,service quality,Price Perceptions,Ambiance and Environment,Expectations Met,Location Convenience,Overall Diner Experience,Wait Time,Variety of Food,Beverage Quality,Food Portion Size,Reservation Ease,Payment Options,Meal Specific Reviews,Special Dietary Offerings,Server Attentiveness,Unique Dining Experience,Food Arrival Timing
Food Quality,1.0,0.15536616371440418,0.09669221833874397,-0.0665074620082276,0.5250749284355702,0.030718709345944263,0.6120375379055198,-0.033535242718749046,0.2741930390088201,0.0751605502355252,0.07839561018668471,-0.04767997741907649,,-0.041312543752577986,,0.0706906089710039,0.010823062012505465,0.002036005470900618
service quality,0.15536616371440418,1.0,0.18176291193158212,0.11100334495951888,0.3691015276204891,-0.0728385579737554,0.3360660636668905,0.13111922503746637,0.1483815697905916,-0.005761703370498156,0.11146189043615458,0.0640723577687771,,-0.08371091329107794,,0.5353115603301504,-0.15497167052793015,0.1101865025408939
Price Perceptions,0.09669221833874397,0.18176291193158212,1.0,0.10248737009574475,0.2274048907808632,0.04499607886381735,0.20886994778610923,-0.01976212683178179,0.017268152889681577,-0.08253393640966178,0.37575613036765326,-0.003506242759690332,,-0.008240056843428363,,0.10268693105850658,-0.01882892671066293,-0.002470408799521696
Ambiance and Environment,-0.0665074620082276,0.11100334495951888,0.10248737009574475,1.0,0.27919752731307473,0.21601031644133922,0.26324609557114803,0.12807543526412146,0.10760720319709437,0.13380387478361558,0.049524810840592536,0.1552381905990417,,-0.09581311312894537,,0.0894945108515415,0.20043985425093297,0.005069158872270602
Expectations Met,0.5250749284355702,0.3691015276204891,0.2274048907808632,0.27919752731307473,1.0,0.03157929919615324,0.8152188976850621,0.1355709465172766,0.26017894963356464,0.16780175333246192,0.1685111219630623,0.11933713501665016,,-0.01678112598234935,,0.3824282356619964,0.11295905982512539,0.08010289043955736
Location Convenience,0.030718709345944263,-0.0728385579737554,0.04499607886381735,0.21601031644133922,0.03157929919615324,1.0,0.06497309102823672,-0.0903303757146104,0.09272423769231206,0.012999443202440656,0.009764478640313943,-0.0652337082749504,,0.18821963504216302,,-0.036704660062891886,0.16785433387021073,0.008495345825382312
Overall Diner Experience,0.6120375379055198,0.3360660636668905,0.20886994778610923,0.26324609557114803,0.8152188976850621,0.06497309102823672,1.0,0.12083118988874601,0.2770021305402138,0.1598885225021256,0.15406443222464983,0.09345653186674677,,0.013815527519510321,,0.38863077747492475,0.0748151239564892,0.06311936094120318
Wait Time,-0.033535242718749046,0.13111922503746637,-0.01976212683178179,0.12807543526412146,0.1355709465172766,-0.0903303757146104,0.12083118988874601,1.0,0.020105490387815707,0.07998946821086005,-0.014277329625964657,0.43442111516762083,,-0.023449602645325102,,0.4164352834225204,-0.05698596208185008,0.7639309492970787
Variety of Food,0.2741930390088201,0.1483815697905916,0.017268152889681577,0.10760720319709437,0.26017894963356464,0.09272423769231206,0.2770021305402138,0.020105490387815707,1.0,0.31210318975654494,-0.001371968021071313,-0.0016941394191611874,,0.032307518241938706,,0.08599148370535492,0.15750071544789954,-0.0011936472217006597
Beverage Quality,0.0751605502355252,-0.005761703370498156,-0.08253393640966178,0.13380387478361558,0.16780175333246192,0.012999443202440656,0.1598885225021256,0.07998946821086005,0.31210318975654494,1.0,-0.012213754692339382,0.12993585922366632,,0.05685806372583902,,0.009930697370179079,0.04797569022207975,-0.010626278551055636
Food Portion Size,0.07839561018668471,0.11146189043615458,0.37575613036765326,0.049524810840592536,0.1685111219630623,0.009764478640313943,0.15406443222464983,-0.014277329625964657,-0.001371968021071313,-0.012213754692339382,1.0,-0.011328663088230495,,-0.06822299186059153,,0.07232377447554174,0.03603674366144105,-0.007981885710176254
Reservation Ease,-0.04767997741907649,0.0640723577687771,-0.003506242759690332,0.1552381905990417,0.11933713501665016,-0.0652337082749504,0.09345653186674677,0.43442111516762083,-0.0016941394191611874,0.12993585922366632,-0.011328663088230495,1.0,,-0.0921461651632402,,0.16324201486447018,-0.010710688472872078,0.14177802372279805
Payment Options,,,,,,,,,,,,,,,,,,
Meal Specific Reviews,-0.041312543752577986,-0.08371091329107794,-0.008240056843428363,-0.09581311312894537,-0.01678112598234935,0.18821963504216302,0.013815527519510321,-0.023449602645325102,0.032307518241938706,0.05685806372583902,-0.06822299186059153,-0.0921461651632402,,1.0,,-0.012666624198726965,0.051867146550027506,0.03715766181600293
Special Dietary Offerings,,,,,,,,,,,,,,,,,,
Server Attentiveness,0.0706906089710039,0.5353115603301504,0.10268693105850658,0.0894945108515415,0.3824282356619964,-0.036704660062891886,0.38863077747492475,0.4164352834225204,0.08599148370535492,0.009930697370179079,0.07232377447554174,0.16324201486447018,,-0.012666624198726965,,1.0,-0.11149011376613965,0.3592002471396894
Unique Dining Experience,0.010823062012505465,-0.15497167052793015,-0.01882892671066293,0.20043985425093297,0.11295905982512539,0.16785433387021073,0.0748151239564892,-0.05698596208185008,0.15750071544789954,0.04797569022207975,0.03603674366144105,-0.010710688472872078,,0.051867146550027506,,-0.11149011376613965,1.0,-0.09507004581827287
Food Arrival Timing,0.002036005470900618,0.1101865025408939,-0.002470408799521696,0.005069158872270602,0.08010289043955736,0.008495345825382312,0.06311936094120318,0.7639309492970787,-0.0011936472217006597,-0.010626278551055636,-0.007981885710176254,0.14177802372279805,,0.03715766181600293,,0.3592002471396894,-0.09507004581827287,1.0
